Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,22.04,50,50,0.01,32,CIFAR10,2285.47
2,28.82,50,50,0.01,32,CIFAR10,2285.47
3,31.4,50,50,0.01,32,CIFAR10,2285.47
4,35.6,50,50,0.01,32,CIFAR10,2285.47
5,38.13,50,50,0.01,32,CIFAR10,2285.47
6,40.7,50,50,0.01,32,CIFAR10,2285.47
7,42.79,50,50,0.01,32,CIFAR10,2285.47
8,44.74,50,50,0.01,32,CIFAR10,2285.47
9,45.54,50,50,0.01,32,CIFAR10,2285.47
10,46.43,50,50,0.01,32,CIFAR10,2285.47
11,47.83,50,50,0.01,32,CIFAR10,2285.47
12,48.59,50,50,0.01,32,CIFAR10,2285.47
13,49.02,50,50,0.01,32,CIFAR10,2285.47
14,50.33,50,50,0.01,32,CIFAR10,2285.47
15,51.34,50,50,0.01,32,CIFAR10,2285.47
16,51.49,50,50,0.01,32,CIFAR10,2285.47
17,52.16,50,50,0.01,32,CIFAR10,2285.47
18,52.77,50,50,0.01,32,CIFAR10,2285.47
19,53.73,50,50,0.01,32,CIFAR10,2285.47
20,54.06,50,50,0.01,32,CIFAR10,2285.47
21,54.42,50,50,0.01,32,CIFAR10,2285.47
22,54.39,50,50,0.01,32,CIFAR10,2285.47
23,55.49,50,50,0.01,32,CIFAR10,2285.47
24,55.73,50,50,0.01,32,CIFAR10,2285.47
25,56.34,50,50,0.01,32,CIFAR10,2285.47
26,56.17,50,50,0.01,32,CIFAR10,2285.47
27,57.13,50,50,0.01,32,CIFAR10,2285.47
28,57.46,50,50,0.01,32,CIFAR10,2285.47
29,57.6,50,50,0.01,32,CIFAR10,2285.47
30,58.4,50,50,0.01,32,CIFAR10,2285.47
31,58.65,50,50,0.01,32,CIFAR10,2285.47
32,59.27,50,50,0.01,32,CIFAR10,2285.47
33,59.61,50,50,0.01,32,CIFAR10,2285.47
34,59.68,50,50,0.01,32,CIFAR10,2285.47
35,59.98,50,50,0.01,32,CIFAR10,2285.47
36,60.26,50,50,0.01,32,CIFAR10,2285.47
37,60.61,50,50,0.01,32,CIFAR10,2285.47
38,61.23,50,50,0.01,32,CIFAR10,2285.47
39,61.29,50,50,0.01,32,CIFAR10,2285.47
40,61.85,50,50,0.01,32,CIFAR10,2285.47
41,61.66,50,50,0.01,32,CIFAR10,2285.47
42,62.4,50,50,0.01,32,CIFAR10,2285.47
43,62.34,50,50,0.01,32,CIFAR10,2285.47
44,62.98,50,50,0.01,32,CIFAR10,2285.47
45,63.23,50,50,0.01,32,CIFAR10,2285.47
46,63.39,50,50,0.01,32,CIFAR10,2285.47
47,63.4,50,50,0.01,32,CIFAR10,2285.47
48,63.45,50,50,0.01,32,CIFAR10,2285.47
49,63.72,50,50,0.01,32,CIFAR10,2285.47
50,64.02,50,50,0.01,32,CIFAR10,2285.47
