Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,42.64,10,50,0.01,16,CIFAR10,2661.12
2,52.04,10,50,0.01,16,CIFAR10,2661.12
3,57.33,10,50,0.01,16,CIFAR10,2661.12
4,60.46,10,50,0.01,16,CIFAR10,2661.12
5,63.49,10,50,0.01,16,CIFAR10,2661.12
6,66.08,10,50,0.01,16,CIFAR10,2661.12
7,66.87,10,50,0.01,16,CIFAR10,2661.12
8,68.34,10,50,0.01,16,CIFAR10,2661.12
9,68.69,10,50,0.01,16,CIFAR10,2661.12
10,69.95,10,50,0.01,16,CIFAR10,2661.12
11,70.56,10,50,0.01,16,CIFAR10,2661.12
12,70.88,10,50,0.01,16,CIFAR10,2661.12
13,71.09,10,50,0.01,16,CIFAR10,2661.12
14,71.08,10,50,0.01,16,CIFAR10,2661.12
15,71.25,10,50,0.01,16,CIFAR10,2661.12
16,71.38,10,50,0.01,16,CIFAR10,2661.12
17,71.41,10,50,0.01,16,CIFAR10,2661.12
18,71.4,10,50,0.01,16,CIFAR10,2661.12
19,71.4,10,50,0.01,16,CIFAR10,2661.12
20,71.44,10,50,0.01,16,CIFAR10,2661.12
21,71.55,10,50,0.01,16,CIFAR10,2661.12
22,71.64,10,50,0.01,16,CIFAR10,2661.12
23,71.55,10,50,0.01,16,CIFAR10,2661.12
24,71.47,10,50,0.01,16,CIFAR10,2661.12
25,71.5,10,50,0.01,16,CIFAR10,2661.12
26,71.38,10,50,0.01,16,CIFAR10,2661.12
27,71.58,10,50,0.01,16,CIFAR10,2661.12
28,71.45,10,50,0.01,16,CIFAR10,2661.12
29,71.56,10,50,0.01,16,CIFAR10,2661.12
30,71.34,10,50,0.01,16,CIFAR10,2661.12
31,71.38,10,50,0.01,16,CIFAR10,2661.12
32,71.41,10,50,0.01,16,CIFAR10,2661.12
33,71.29,10,50,0.01,16,CIFAR10,2661.12
34,71.28,10,50,0.01,16,CIFAR10,2661.12
35,71.24,10,50,0.01,16,CIFAR10,2661.12
36,71.25,10,50,0.01,16,CIFAR10,2661.12
37,71.36,10,50,0.01,16,CIFAR10,2661.12
38,71.29,10,50,0.01,16,CIFAR10,2661.12
39,71.17,10,50,0.01,16,CIFAR10,2661.12
40,71.13,10,50,0.01,16,CIFAR10,2661.12
41,71.19,10,50,0.01,16,CIFAR10,2661.12
42,71.18,10,50,0.01,16,CIFAR10,2661.12
43,71.19,10,50,0.01,16,CIFAR10,2661.12
44,71.13,10,50,0.01,16,CIFAR10,2661.12
45,71.16,10,50,0.01,16,CIFAR10,2661.12
46,70.87,10,50,0.01,16,CIFAR10,2661.12
47,71.03,10,50,0.01,16,CIFAR10,2661.12
48,70.96,10,50,0.01,16,CIFAR10,2661.12
49,70.98,10,50,0.01,16,CIFAR10,2661.12
50,70.9,10,50,0.01,16,CIFAR10,2661.12
