Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,49.36,50,50,0.01,16,CIFAR10,51735.66
2,52.22,50,50,0.01,16,CIFAR10,51735.66
3,52.91,50,50,0.01,16,CIFAR10,51735.66
4,54.81,50,50,0.01,16,CIFAR10,51735.66
5,55.29,50,50,0.01,16,CIFAR10,51735.66
6,56.53,50,50,0.01,16,CIFAR10,51735.66
7,57.52,50,50,0.01,16,CIFAR10,51735.66
8,58.07,50,50,0.01,16,CIFAR10,51735.66
9,58.88,50,50,0.01,16,CIFAR10,51735.66
10,59.01,50,50,0.01,16,CIFAR10,51735.66
11,59.35,50,50,0.01,16,CIFAR10,51735.66
12,59.45,50,50,0.01,16,CIFAR10,51735.66
13,59.9,50,50,0.01,16,CIFAR10,51735.66
14,59.99,50,50,0.01,16,CIFAR10,51735.66
15,60.39,50,50,0.01,16,CIFAR10,51735.66
16,60.81,50,50,0.01,16,CIFAR10,51735.66
17,60.65,50,50,0.01,16,CIFAR10,51735.66
18,60.84,50,50,0.01,16,CIFAR10,51735.66
19,61.06,50,50,0.01,16,CIFAR10,51735.66
20,61.24,50,50,0.01,16,CIFAR10,51735.66
21,61.32,50,50,0.01,16,CIFAR10,51735.66
22,61.41,50,50,0.01,16,CIFAR10,51735.66
23,61.48,50,50,0.01,16,CIFAR10,51735.66
24,61.86,50,50,0.01,16,CIFAR10,51735.66
25,61.8,50,50,0.01,16,CIFAR10,51735.66
26,61.92,50,50,0.01,16,CIFAR10,51735.66
27,62.02,50,50,0.01,16,CIFAR10,51735.66
28,62.07,50,50,0.01,16,CIFAR10,51735.66
29,62.28,50,50,0.01,16,CIFAR10,51735.66
30,62.43,50,50,0.01,16,CIFAR10,51735.66
31,62.47,50,50,0.01,16,CIFAR10,51735.66
32,62.43,50,50,0.01,16,CIFAR10,51735.66
33,62.4,50,50,0.01,16,CIFAR10,51735.66
34,62.57,50,50,0.01,16,CIFAR10,51735.66
35,62.72,50,50,0.01,16,CIFAR10,51735.66
36,62.88,50,50,0.01,16,CIFAR10,51735.66
37,62.91,50,50,0.01,16,CIFAR10,51735.66
38,62.91,50,50,0.01,16,CIFAR10,51735.66
39,62.9,50,50,0.01,16,CIFAR10,51735.66
40,62.99,50,50,0.01,16,CIFAR10,51735.66
41,62.82,50,50,0.01,16,CIFAR10,51735.66
42,63.06,50,50,0.01,16,CIFAR10,51735.66
43,63.13,50,50,0.01,16,CIFAR10,51735.66
44,62.99,50,50,0.01,16,CIFAR10,51735.66
45,63.12,50,50,0.01,16,CIFAR10,51735.66
46,63.27,50,50,0.01,16,CIFAR10,51735.66
47,63.34,50,50,0.01,16,CIFAR10,51735.66
48,63.27,50,50,0.01,16,CIFAR10,51735.66
49,63.35,50,50,0.01,16,CIFAR10,51735.66
50,63.45,50,50,0.01,16,CIFAR10,51735.66
