Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,12.05,50,50,0.0005,16,CIFAR10,2710.23
2,14.87,50,50,0.0005,16,CIFAR10,2710.23
3,18.21,50,50,0.0005,16,CIFAR10,2710.23
4,21.41,50,50,0.0005,16,CIFAR10,2710.23
5,23.72,50,50,0.0005,16,CIFAR10,2710.23
6,24.51,50,50,0.0005,16,CIFAR10,2710.23
7,24.99,50,50,0.0005,16,CIFAR10,2710.23
8,25.49,50,50,0.0005,16,CIFAR10,2710.23
9,25.71,50,50,0.0005,16,CIFAR10,2710.23
10,26.11,50,50,0.0005,16,CIFAR10,2710.23
11,26.37,50,50,0.0005,16,CIFAR10,2710.23
12,26.81,50,50,0.0005,16,CIFAR10,2710.23
13,27.2,50,50,0.0005,16,CIFAR10,2710.23
14,27.59,50,50,0.0005,16,CIFAR10,2710.23
15,28.28,50,50,0.0005,16,CIFAR10,2710.23
16,28.62,50,50,0.0005,16,CIFAR10,2710.23
17,29.02,50,50,0.0005,16,CIFAR10,2710.23
18,29.44,50,50,0.0005,16,CIFAR10,2710.23
19,29.98,50,50,0.0005,16,CIFAR10,2710.23
20,30.46,50,50,0.0005,16,CIFAR10,2710.23
21,30.96,50,50,0.0005,16,CIFAR10,2710.23
22,31.29,50,50,0.0005,16,CIFAR10,2710.23
23,31.65,50,50,0.0005,16,CIFAR10,2710.23
24,32.18,50,50,0.0005,16,CIFAR10,2710.23
25,32.71,50,50,0.0005,16,CIFAR10,2710.23
26,33.26,50,50,0.0005,16,CIFAR10,2710.23
27,33.52,50,50,0.0005,16,CIFAR10,2710.23
28,33.7,50,50,0.0005,16,CIFAR10,2710.23
29,34.02,50,50,0.0005,16,CIFAR10,2710.23
30,34.27,50,50,0.0005,16,CIFAR10,2710.23
31,34.68,50,50,0.0005,16,CIFAR10,2710.23
32,34.86,50,50,0.0005,16,CIFAR10,2710.23
33,35.12,50,50,0.0005,16,CIFAR10,2710.23
34,35.29,50,50,0.0005,16,CIFAR10,2710.23
35,35.62,50,50,0.0005,16,CIFAR10,2710.23
36,36.03,50,50,0.0005,16,CIFAR10,2710.23
37,36.28,50,50,0.0005,16,CIFAR10,2710.23
38,36.58,50,50,0.0005,16,CIFAR10,2710.23
39,36.97,50,50,0.0005,16,CIFAR10,2710.23
40,37.23,50,50,0.0005,16,CIFAR10,2710.23
41,37.61,50,50,0.0005,16,CIFAR10,2710.23
42,37.74,50,50,0.0005,16,CIFAR10,2710.23
43,37.95,50,50,0.0005,16,CIFAR10,2710.23
44,38.1,50,50,0.0005,16,CIFAR10,2710.23
45,38.27,50,50,0.0005,16,CIFAR10,2710.23
46,38.68,50,50,0.0005,16,CIFAR10,2710.23
47,38.86,50,50,0.0005,16,CIFAR10,2710.23
48,39.06,50,50,0.0005,16,CIFAR10,2710.23
49,39.14,50,50,0.0005,16,CIFAR10,2710.23
50,39.5,50,50,0.0005,16,CIFAR10,2710.23
