Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,24.76,50,50,0.01,16,CIFAR10,2668.2
2,31.35,50,50,0.01,16,CIFAR10,2668.2
3,38.79,50,50,0.01,16,CIFAR10,2668.2
4,42.23,50,50,0.01,16,CIFAR10,2668.2
5,45.66,50,50,0.01,16,CIFAR10,2668.2
6,48.23,50,50,0.01,16,CIFAR10,2668.2
7,50.06,50,50,0.01,16,CIFAR10,2668.2
8,51.68,50,50,0.01,16,CIFAR10,2668.2
9,53.19,50,50,0.01,16,CIFAR10,2668.2
10,54.39,50,50,0.01,16,CIFAR10,2668.2
11,55.58,50,50,0.01,16,CIFAR10,2668.2
12,56.57,50,50,0.01,16,CIFAR10,2668.2
13,57.18,50,50,0.01,16,CIFAR10,2668.2
14,57.99,50,50,0.01,16,CIFAR10,2668.2
15,58.97,50,50,0.01,16,CIFAR10,2668.2
16,59.6,50,50,0.01,16,CIFAR10,2668.2
17,60.35,50,50,0.01,16,CIFAR10,2668.2
18,61.04,50,50,0.01,16,CIFAR10,2668.2
19,61.74,50,50,0.01,16,CIFAR10,2668.2
20,62.45,50,50,0.01,16,CIFAR10,2668.2
21,62.79,50,50,0.01,16,CIFAR10,2668.2
22,63.3,50,50,0.01,16,CIFAR10,2668.2
23,63.68,50,50,0.01,16,CIFAR10,2668.2
24,64.16,50,50,0.01,16,CIFAR10,2668.2
25,64.4,50,50,0.01,16,CIFAR10,2668.2
26,64.81,50,50,0.01,16,CIFAR10,2668.2
27,65.01,50,50,0.01,16,CIFAR10,2668.2
28,65.22,50,50,0.01,16,CIFAR10,2668.2
29,65.54,50,50,0.01,16,CIFAR10,2668.2
30,65.84,50,50,0.01,16,CIFAR10,2668.2
31,65.98,50,50,0.01,16,CIFAR10,2668.2
32,65.98,50,50,0.01,16,CIFAR10,2668.2
33,66.04,50,50,0.01,16,CIFAR10,2668.2
34,66.24,50,50,0.01,16,CIFAR10,2668.2
35,66.41,50,50,0.01,16,CIFAR10,2668.2
36,66.39,50,50,0.01,16,CIFAR10,2668.2
37,66.62,50,50,0.01,16,CIFAR10,2668.2
38,66.71,50,50,0.01,16,CIFAR10,2668.2
39,66.75,50,50,0.01,16,CIFAR10,2668.2
40,66.74,50,50,0.01,16,CIFAR10,2668.2
41,66.7,50,50,0.01,16,CIFAR10,2668.2
42,66.96,50,50,0.01,16,CIFAR10,2668.2
43,66.91,50,50,0.01,16,CIFAR10,2668.2
44,66.98,50,50,0.01,16,CIFAR10,2668.2
45,67.02,50,50,0.01,16,CIFAR10,2668.2
46,66.94,50,50,0.01,16,CIFAR10,2668.2
47,67.13,50,50,0.01,16,CIFAR10,2668.2
48,67.07,50,50,0.01,16,CIFAR10,2668.2
49,67.14,50,50,0.01,16,CIFAR10,2668.2
50,67.34,50,50,0.01,16,CIFAR10,2668.2
