Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,27.71,50,1000,0.01,16,CIFAR10,53381.07
2,34.56,50,1000,0.01,16,CIFAR10,53381.07
3,39.52,50,1000,0.01,16,CIFAR10,53381.07
4,43.4,50,1000,0.01,16,CIFAR10,53381.07
5,46.7,50,1000,0.01,16,CIFAR10,53381.07
6,48.76,50,1000,0.01,16,CIFAR10,53381.07
7,49.87,50,1000,0.01,16,CIFAR10,53381.07
8,51.32,50,1000,0.01,16,CIFAR10,53381.07
9,52.4,50,1000,0.01,16,CIFAR10,53381.07
10,53.58,50,1000,0.01,16,CIFAR10,53381.07
11,54.79,50,1000,0.01,16,CIFAR10,53381.07
12,55.45,50,1000,0.01,16,CIFAR10,53381.07
13,56.28,50,1000,0.01,16,CIFAR10,53381.07
14,56.93,50,1000,0.01,16,CIFAR10,53381.07
15,57.64,50,1000,0.01,16,CIFAR10,53381.07
16,58.55,50,1000,0.01,16,CIFAR10,53381.07
17,59.01,50,1000,0.01,16,CIFAR10,53381.07
18,59.61,50,1000,0.01,16,CIFAR10,53381.07
19,60.36,50,1000,0.01,16,CIFAR10,53381.07
20,61.01,50,1000,0.01,16,CIFAR10,53381.07
21,61.38,50,1000,0.01,16,CIFAR10,53381.07
22,61.85,50,1000,0.01,16,CIFAR10,53381.07
23,62.31,50,1000,0.01,16,CIFAR10,53381.07
24,62.98,50,1000,0.01,16,CIFAR10,53381.07
25,63.22,50,1000,0.01,16,CIFAR10,53381.07
26,63.68,50,1000,0.01,16,CIFAR10,53381.07
27,64.17,50,1000,0.01,16,CIFAR10,53381.07
28,64.21,50,1000,0.01,16,CIFAR10,53381.07
29,64.46,50,1000,0.01,16,CIFAR10,53381.07
30,64.87,50,1000,0.01,16,CIFAR10,53381.07
31,65.0,50,1000,0.01,16,CIFAR10,53381.07
32,65.33,50,1000,0.01,16,CIFAR10,53381.07
33,65.4,50,1000,0.01,16,CIFAR10,53381.07
34,65.91,50,1000,0.01,16,CIFAR10,53381.07
35,65.98,50,1000,0.01,16,CIFAR10,53381.07
36,66.14,50,1000,0.01,16,CIFAR10,53381.07
37,66.24,50,1000,0.01,16,CIFAR10,53381.07
38,66.51,50,1000,0.01,16,CIFAR10,53381.07
39,66.44,50,1000,0.01,16,CIFAR10,53381.07
40,66.59,50,1000,0.01,16,CIFAR10,53381.07
41,66.68,50,1000,0.01,16,CIFAR10,53381.07
42,66.65,50,1000,0.01,16,CIFAR10,53381.07
43,66.6,50,1000,0.01,16,CIFAR10,53381.07
44,66.88,50,1000,0.01,16,CIFAR10,53381.07
45,67.02,50,1000,0.01,16,CIFAR10,53381.07
46,67.07,50,1000,0.01,16,CIFAR10,53381.07
47,66.96,50,1000,0.01,16,CIFAR10,53381.07
48,67.07,50,1000,0.01,16,CIFAR10,53381.07
49,67.26,50,1000,0.01,16,CIFAR10,53381.07
50,67.35,50,1000,0.01,16,CIFAR10,53381.07
51,67.38,50,1000,0.01,16,CIFAR10,53381.07
52,67.35,50,1000,0.01,16,CIFAR10,53381.07
53,67.32,50,1000,0.01,16,CIFAR10,53381.07
54,67.48,50,1000,0.01,16,CIFAR10,53381.07
55,67.51,50,1000,0.01,16,CIFAR10,53381.07
56,67.53,50,1000,0.01,16,CIFAR10,53381.07
57,67.59,50,1000,0.01,16,CIFAR10,53381.07
58,67.59,50,1000,0.01,16,CIFAR10,53381.07
59,67.67,50,1000,0.01,16,CIFAR10,53381.07
60,67.62,50,1000,0.01,16,CIFAR10,53381.07
61,67.79,50,1000,0.01,16,CIFAR10,53381.07
62,67.95,50,1000,0.01,16,CIFAR10,53381.07
63,68.02,50,1000,0.01,16,CIFAR10,53381.07
64,67.96,50,1000,0.01,16,CIFAR10,53381.07
65,67.95,50,1000,0.01,16,CIFAR10,53381.07
66,67.82,50,1000,0.01,16,CIFAR10,53381.07
67,67.8,50,1000,0.01,16,CIFAR10,53381.07
68,67.98,50,1000,0.01,16,CIFAR10,53381.07
69,68.05,50,1000,0.01,16,CIFAR10,53381.07
70,67.85,50,1000,0.01,16,CIFAR10,53381.07
